2RXS  J215808.9+755942   329.53711	  75.99510	 16.41 	  16.60283	  69.88662	   15.58	   17.81	  5.326194	  0.0245	  0.0073	  727.42	   0.162	   0.288	   0.029	   0.309
2RXS  J225600.6+755619   344.00278	  75.93864	  8.81 	  14.65127	  66.43757	   46.58	   35.27	  7.069790	  0.0472	  0.0095	  747.68	  -0.023	   0.134	   0.119	   0.187
2RXS  J001422.5+755137     3.59412	  75.86030	 29.35 	  13.15523	  62.07894	    7.73	   12.01	  4.666790	  0.0147	  0.0057	  815.82	  -1.000	   0.381	   1.000	   4.568
2RXS  J004336.9+754513    10.90391	  75.75361	 10.08 	  12.88920	  60.54581	   26.20	   24.54	  6.200174	  0.0272	  0.0069	  903.72	   0.026	   0.172	  -0.129	   0.223
2RXS  J004923.5+753730    12.34829	  75.62503	 12.73 	  12.75364	  60.18533	    8.04	    8.94	  3.982922	  0.0101	  0.0045	  883.23	  -0.144	   0.212	   0.358	   0.292
2RXS  J004654.7+753702    11.72793	  75.61745	  9.11 	  12.74808	  60.30138	   24.09	   17.64	  5.079209	  0.0196	  0.0056	  899.14	   0.069	   0.305	   0.076	   0.351
2RXS  J002905.7+753605     7.27386	  75.60145	 25.04 	  12.79127	  61.18016	    8.27	   13.83	  5.088659	  0.0163	  0.0060	  845.88	  -0.195	   0.165	  -0.246	   0.261
2RXS  J000248.5+752807     0.70217	  75.46883	  9.91 	  12.89110	  62.48748	   27.75	   20.83	  5.516395	  0.0271	  0.0072	  768.10	  -0.102	   0.221	   0.186	   0.310
2RXS  J004324.0+751919    10.85037	  75.32220	 15.89 	  12.45843	  60.29263	    6.61	    8.26	  3.787134	  0.0095	  0.0044	  869.80	   9.999	   9.999	   9.999	   9.999
2RXS  J010323.1+750854    15.84642	  75.14852	 18.79 	  12.29479	  59.20361	   11.72	   18.96	  5.573875	  0.0225	  0.0066	  844.04	  -1.000	   0.387	  -1.000	   2.043
2RXS  J003910.4+750604     9.79366	  75.10135	 25.26 	  12.24864	  60.37064	   12.08	   17.06	  5.283391	  0.0205	  0.0064	  831.90	   1.000	   0.139	   0.515	   0.125
2RXS  J002338.4+750332     5.91013	  75.05909	  7.72 	  12.28601	  61.15215	   60.41	   43.18	  7.522293	  0.0566	  0.0099	  762.35	   0.232	   0.125	   0.120	   0.152
2RXS  J002008.4+750243     5.03540	  75.04535	 20.23 	  12.29879	  61.33003	    6.82	   10.32	  4.428391	  0.0137	  0.0059	  753.76	   9.999	   9.999	   9.999	   9.999
2RXS  J001408.6+750038     3.53622	  75.01075	 12.92 	  12.31711	  61.63254	    8.85	   10.03	  4.126709	  0.0136	  0.0056	  736.80	   0.180	   0.534	  -0.524	   0.652
2RXS  J004454.6+745750    11.22786	  74.96398	 19.36 	  12.09756	  59.99448	    8.20	    9.87	  4.485418	  0.0117	  0.0053	  843.51	  -0.360	   0.226	  -0.330	   0.446
2RXS  J003607.9+744938     9.03313	  74.82742	 13.30 	  11.98592	  60.36055	   10.18	   10.98	  4.435487	  0.0140	  0.0057	  781.83	   1.000	   0.838	  -0.294	   0.525
2RXS  J003231.9+744858     8.13310	  74.81623	  9.96 	  11.99074	  60.54174	    9.80	    7.26	  3.403023	  0.0095	  0.0044	  765.18	  -1.000	   2.256	  -1.000	   1.218
2RXS  J004019.3+743945    10.08061	  74.66252	 18.00 	  11.80682	  60.04177	    7.07	    9.31	  4.037264	  0.0119	  0.0052	  782.31	   0.000	   0.000	   0.000	   0.000
2RXS  J000427.7+743117     1.11553	  74.52159	 15.76 	  11.94069	  61.90151	    6.87	    8.60	  3.958633	  0.0116	  0.0053	  742.54	   9.999	   9.999	   9.999	   9.999
2RXS  J000851.6+743155     2.21535	  74.53196	 19.09 	  11.89909	  61.66039	    7.84	    8.40	  3.638710	  0.0113	  0.0049	  744.91	  -1.000	   0.647	   1.000	   3.077
2RXS  J003125.6+743513     7.85676	  74.58711	 35.53 	  11.76793	  60.46260	    6.68	   13.28	  4.957977	  0.0179	  0.0067	  739.93	   9.999	   9.999	   9.999	   9.999
