	Theta	Offset	DEC-Einstein	DEC-ROSART	RA-Einstein		RA-ROSAT	SNR-Einstein	SNR-ROSAT
   122.8	    2.24	58.298356	58.321470	  123.956937	  124.004720	    3.30	   13.89
    27.3	    0.89	58.424921	58.418460	  202.402333	  202.409940	   11.65	    6.46
    38.4	    0.68	58.432971	58.442130	  198.181084	  198.170590	    3.16	   19.03
   148.8	    1.99	58.462351	58.426660	  198.690145	  198.729930	    2.53	   16.81
   107.9	    1.46	58.513802	58.540600	  202.861256	  202.835600	    2.51	   10.07
    80.0	    1.48	58.522770	58.540600	  202.810237	  202.835600	    3.97	   10.07
    21.4	    0.71	58.558610	58.564480	  240.472742	  240.474460	   14.79	    1.71
     6.4	    0.21	58.767969	58.769740	  114.237508	  114.237320	   10.11	    5.47
   132.8	    1.68	58.898841	58.873880	  133.490046	  133.437480	    2.57	   30.81
    48.3	    1.56	58.927842	58.940830	  191.164959	  191.171400	   10.24	    7.17
    20.0	    0.66	59.025785	59.021190	   76.559350	   76.553310	   15.26	    3.29
    75.1	    1.39	59.127408	59.147630	  134.252619	  134.262680	    3.69	   10.44
    23.3	    0.32	59.305952	59.312200	  193.250237	  193.246950	    2.93	   10.50
    10.7	    0.20	59.331399	59.334350	  283.243851	  283.244600	    3.67	   10.15
    17.5	    0.40	59.359097	59.354230	  234.664843	  234.665050	    4.09	   14.23
    21.5	    0.52	59.392316	59.387100	  282.807049	  282.801360	    4.42	    6.31
    31.3	    0.59	59.628456	59.622830	  280.715245	  280.702150	    3.86	    5.78
     9.2	    0.30	59.660744	59.661740	  212.354203	  212.349560	   13.50	    7.27
    58.3	    1.34	59.706034	59.722130	  212.582457	  212.578810	    4.14	   14.26
    32.0	    0.44	59.708140	59.713820	  235.871869	  235.885410	    2.60	    8.54
    15.2	    0.49	59.770103	59.771260	  308.709068	  308.700990	    9.45	    8.90
   138.9	    1.87	59.824990	59.810670	  261.543597	  261.472320	    2.27	   12.95
    13.3	    0.18	59.878497	59.876380	  307.750879	  307.756900	    2.88	   10.38
    11.4	    0.21	59.931958	59.929580	  261.666573	  261.662410	    3.92	    7.51
    21.2	    0.46	60.019383	60.022230	  206.153470	  206.143130	    4.51	   20.18
   144.6	    2.59	60.028592	60.061000	  205.708708	  205.756240	    3.07	   17.61
    35.3	    0.65	60.087749	60.094400	  309.785195	  309.799680	    3.26	   13.63
    75.5	    2.38	60.170232	60.190750	  308.738663	  308.747310	   17.75	   10.22
    20.6	    0.28	60.195715	60.191810	  261.002800	  260.994380	    2.65	    9.45
    48.1	    1.12	60.259121	60.259580	  205.421134	  205.394200	    5.69	   12.59
   156.7	    2.12	60.269287	60.239840	  259.903254	  259.967900	    2.18	   11.82
   110.6	    1.50	60.270587	60.249390	  257.102846	  257.058010	    2.71	   10.76
    17.7	    0.59	60.324245	60.320520	  192.170358	  192.163860	   19.76	    2.87
    77.8	    1.17	60.366126	60.380820	  205.545668	  205.577710	    3.36	   39.70
    39.9	    0.94	60.378212	60.367950	  307.926271	  307.934690	    5.32	   10.84
    19.2	    0.44	60.401093	60.401680	  256.749198	  256.738490	    5.11	   15.16
    48.0	    1.04	60.402158	60.414910	  309.113239	  309.121190	    4.90	   21.42
    32.2	    0.76	60.408039	60.412920	  206.997317	  206.982150	    5.37	    9.89
    84.0	    1.15	60.419863	60.402750	  294.810262	  294.778110	    2.40	    7.23
