myDEC	edDEC	myRA	edRA
63.740560	63.740560	272.517360	272.517360
63.740250	63.740250	252.666900	252.666900
63.706800	63.706800	221.026310	221.026310
63.758190	63.758190	208.315630	208.315630
63.775640	63.775640	277.589320	277.589320
63.816510	63.816510	265.985900	265.985900
63.817430	63.817430	233.816540	233.816540
63.844390	63.844390	269.696140	269.696140
63.830930	63.830930	276.140200	276.140200
63.830220	63.830220	274.525540	274.525540
63.852490	63.852490	265.573490	265.573490
63.865020	63.865020	210.263530	210.263530
63.876820	63.876820	269.290100	269.290100
63.869030	63.869030	233.152760	233.152760
63.910360	63.910360	233.457380	233.457380
63.924160	63.924160	219.709560	219.709560
63.947070	63.947070	274.945040	274.945040
64.025900	64.025900	182.089770	182.089770
64.033820	64.033820	278.100130	278.100130
64.058920	64.058920	277.057100	277.057100
64.053080	64.053080	275.565640	275.565640
64.144080	64.144080	261.849550	261.849550
64.100990	64.100990	263.769100	263.769100
64.155820	64.155820	277.331540	277.331540
64.142600	64.142600	269.801850	269.801850
64.158570	64.158570	269.504790	269.504790
64.180220	64.180220	182.059070	182.059070
64.176690	64.176690	278.803620	278.803620
64.239010	64.239010	187.884480	187.884480
64.237940	64.237940	262.258420	262.258420
64.345890	64.345890	275.487000	275.487000
64.375440	64.375440	211.101390	211.101390
64.375440	64.375440	211.101390	211.101390
64.396860	64.396860	273.473450	273.473450
64.410500	64.410500	198.744400	198.744400
64.458310	64.458310	266.755190	266.755190
64.454790	64.454790	275.133390	275.133390
64.486240	64.486240	271.136380	271.136380
64.502550	64.502550	211.532060	211.532060
64.478810	64.478810	274.061710	274.061710
64.617530	64.617530	274.122890	274.122890
64.576870	64.576870	198.602680	198.602680
64.637850	64.637850	278.104740	278.104740
64.672780	64.672780	265.849300	265.849300
64.648360	64.648360	269.180080	269.180080
64.683190	64.683190	268.239010	268.239010
64.654680	64.654680	274.553380	274.553380
64.672780	64.672780	265.849300	265.849300
64.716380	64.716380	265.084260	265.084260
64.829260	64.829260	278.130370	278.130370
64.838150	64.838150	276.293950	276.293950
64.819600	64.819600	265.655820	265.655820
64.829260	64.829260	278.130370	278.130370
64.867160	64.867160	268.527220	268.527220
64.855710	64.855710	266.480290	266.480290
64.885800	64.885800	275.552800	275.552800
64.869740	64.869740	264.384460	264.384460
64.867160	64.867160	268.527220	268.527220
64.989980	64.989980	267.984530	267.984530
65.002000	65.002000	264.982180	264.982180
65.022000	65.022000	129.799930	129.799930
64.989980	64.989980	267.984530	267.984530
65.029790	65.029790	263.026860	263.026860
65.041530	65.041530	264.060670	264.060670
65.072440	65.072440	67.721310	67.721310
65.074810	65.074810	274.202550	274.202550
65.113020	65.113020	262.511260	262.511260
65.117710	65.117710	272.904420	272.904420
65.123100	65.123100	273.825840	273.825840
65.129240	65.129240	265.308960	265.308960
65.159110	65.159110	264.520940	264.520940
65.155030	65.155030	273.399050	273.399050
65.156810	65.156810	276.195710	276.195710
65.133240	65.133240	270.501920	270.501920
65.176330	65.176330	274.967350	274.967350
65.193170	65.193170	277.935460	277.935460
65.223300	65.223300	114.094030	114.094030
65.303760	65.303760	274.692720	274.692720
65.355520	65.355520	194.627320	194.627320
65.321620	65.321620	275.082730	275.082730
65.330910	65.330910	268.774260	268.774260
65.355520	65.355520	194.627320	194.627320
65.446000	65.446000	278.769960	278.769960
65.496700	65.496700	262.255830	262.255830
65.490980	65.490980	194.223110	194.223110
65.509170	65.509170	273.604400	273.604400
65.558050	65.558050	256.876860	256.876860
65.566380	65.566380	75.776390	75.776390
65.556610	65.556610	263.226200	263.226200
65.570910	65.570910	256.499020	256.499020
65.591280	65.591280	114.106800	114.106800
65.609940	65.609940	175.369490	175.369490
65.638980	65.638980	273.445160	273.445160
65.611670	65.611670	271.190120	271.190120
65.630050	65.630050	271.715790	271.715790
65.645690	65.645690	270.470830	270.470830
65.664610	65.664610	114.250700	114.250700
65.675260	65.675260	113.790100	113.790100
65.709850	65.709850	278.006650	278.006650
65.720260	65.720260	243.487730	243.487730
65.783940	65.783940	273.289280	273.289280
65.792820	65.792820	325.701020	325.701020
65.790510	65.790510	277.081510	277.081510
65.798030	65.798030	174.992540	174.992540
65.808050	65.808050	270.978240	270.978240
65.808050	65.808050	270.978240	270.978240
65.854010	65.854010	127.739290	127.739290
65.822370	65.822370	276.812990	276.812990
65.935350	65.935350	270.313350	270.313350
65.919490	65.919490	174.291490	174.291490
65.991540	65.991540	275.348330	275.348330
66.027570	66.027570	271.331360	271.331360
66.007120	66.007120	274.097410	274.097410
66.017840	66.017840	264.271030	264.271030
66.041400	66.041400	127.164790	127.164790
66.049690	66.049690	260.968630	260.968630
66.094580	66.094580	270.715270	270.715270
66.096540	66.096540	325.736570	325.736570
66.112560	66.112560	265.761020	265.761020
66.112560	66.112560	265.761020	265.761020
66.193470	66.193470	274.737060	274.737060
66.231620	66.231620	268.524440	268.524440
66.249390	66.249390	235.288850	235.288850
66.284490	66.284490	75.422490	75.422490
66.342420	66.342420	275.136320	275.136320
66.343790	66.343790	73.515070	73.515070
66.342090	66.342090	272.372710	272.372710
66.364040	66.364040	187.584460	187.584460
66.420800	66.420800	268.233730	268.233730
66.399600	66.399600	270.315670	270.315670
66.436800	66.436800	234.181020	234.181020
66.407570	66.407570	270.750180	270.750180
66.427090	66.427090	123.754400	123.754400
66.464690	66.464690	235.900480	235.900480
66.446700	66.446700	240.656270	240.656270
66.486850	66.486850	269.936400	269.936400
66.481180	66.481180	273.438080	273.438080
66.483510	66.483510	270.525940	270.525940
66.522030	66.522030	277.672120	277.672120
66.528360	66.528360	269.330510	269.330510
66.528360	66.528360	269.330510	269.330510
66.588800	66.588800	189.277630	189.277630
66.592280	66.592280	271.831790	271.831790
66.617070	66.617070	261.231540	261.231540
66.601300	66.601300	240.704800	240.704800
66.646440	66.646440	268.813140	268.813140
66.650490	66.650490	271.356810	271.356810
66.644300	66.644300	270.445160	270.445160
66.722480	66.722480	272.580350	272.580350
66.723370	66.723370	261.684200	261.684200
66.732600	66.732600	73.594000	73.594000
66.736190	66.736190	252.985870	252.985870
66.803180	66.803180	240.421450	240.421450
66.817950	66.817950	253.800250	253.800250
66.858740	66.858740	150.503230	150.503230
66.901470	66.901470	270.339940	270.339940
66.887030	66.887030	279.877660	279.877660
66.889280	66.889280	280.845520	280.845520
66.909510	66.909510	275.483430	275.483430
66.953700	66.953700	261.026550	261.026550
66.970120	66.970120	273.820590	273.820590
67.009920	67.009920	264.136260	264.136260
67.016690	67.016690	262.416500	262.416500
67.035120	67.035120	266.844270	266.844270
67.056230	67.056230	149.625530	149.625530
67.056080	67.056080	150.874600	150.874600
67.106430	67.106430	227.729950	227.729950
67.113640	67.113640	276.657710	276.657710
67.128690	67.128690	273.442080	273.442080
67.169550	67.169550	278.495210	278.495210
67.186180	67.186180	275.322660	275.322660
67.167960	67.167960	150.783740	150.783740
67.180650	67.180650	264.936340	264.936340
67.243730	67.243730	267.980680	267.980680
67.276250	67.276250	186.740430	186.740430
67.285180	67.285180	227.164700	227.164700
67.335820	67.335820	270.448030	270.448030
67.318680	67.318680	279.149570	279.149570
67.328410	67.328410	275.977290	275.977290
67.405630	67.405630	271.096470	271.096470
67.419000	67.419000	263.568630	263.568630
67.398280	67.398280	288.149930	288.149930
67.464250	67.464250	270.696840	270.696840
67.464250	67.464250	270.696840	270.696840
67.436350	67.436350	269.619540	269.619540
67.489590	67.489590	271.067170	271.067170
67.542900	67.542900	262.148530	262.148530
67.520550	67.520550	279.886810	279.886810
67.572570	67.572570	270.066130	270.066130
67.542240	67.542240	288.652440	288.652440
67.581450	67.581450	270.340390	270.340390
67.598290	67.598290	272.170530	272.170530
67.644830	67.644830	268.190030	268.190030
67.622510	67.622510	266.541350	266.541350
67.613070	67.613070	212.981860	212.981860
67.657060	67.657060	269.926210	269.926210
67.629160	67.629160	271.309940	271.309940
67.647410	67.647410	206.244510	206.244510
67.635270	67.635270	270.868130	270.868130
67.643830	67.643830	270.056400	270.056400
67.684210	67.684210	289.124180	289.124180
67.692930	67.692930	287.619930	287.619930
67.713510	67.713510	227.126720	227.126720
67.690880	67.690880	274.621800	274.621800
67.722090	67.722090	269.554990	269.554990
67.743180	67.743180	272.202610	272.202610
67.787340	67.787340	279.227600	279.227600
67.808560	67.808560	263.013730	263.013730
67.813140	67.813140	261.954990	261.954990
67.819180	67.819180	277.431610	277.431610
67.838950	67.838950	287.535490	287.535490
67.854760	67.854760	56.834860	56.834860
67.877670	67.877670	268.941830	268.941830
67.903290	67.903290	271.056090	271.056090
67.903580	67.903580	288.585600	288.585600
67.924940	67.924940	269.210820	269.210820
67.981710	67.981710	279.799800	279.799800
68.003680	68.003680	265.673610	265.673610
68.021210	68.021210	221.974530	221.974530
68.050520	68.050520	264.089540	264.089540
68.060200	68.060200	268.672360	268.672360
68.081480	68.081480	56.482970	56.482970
68.085370	68.085370	223.496030	223.496030
68.082260	68.082260	156.083330	156.083330
68.091830	68.091830	56.694430	56.694430
68.108880	68.108880	273.853450	273.853450
68.118970	68.118970	269.058410	269.058410
68.159020	68.159020	315.418210	315.418210
68.174190	68.174190	223.691500	223.691500
68.341610	68.341610	264.113430	264.113430
68.442800	68.442800	272.643830	272.643830
68.407090	68.407090	274.443450	274.443450
68.414650	68.414650	222.611240	222.611240
68.431100	68.431100	157.609950	157.609950
68.492770	68.492770	269.649900	269.649900
68.574030	68.574030	263.327120	263.327120
68.586090	68.586090	156.005620	156.005620
68.596570	68.596570	270.040860	270.040860
68.607400	68.607400	266.751400	266.751400
68.628370	68.628370	275.541200	275.541200
68.612660	68.612660	278.129550	278.129550
68.623990	68.623990	272.445400	272.445400
68.689650	68.689650	269.392000	269.392000
68.703150	68.703150	267.161380	267.161380
68.718240	68.718240	261.010680	261.010680
68.756240	68.756240	264.239930	264.239930
68.754410	68.754410	263.714840	263.714840
68.776640	68.776640	150.755810	150.755810
68.802030	68.802030	278.146760	278.146760
68.823140	68.823140	269.264740	269.264740
68.829120	68.829120	266.583130	266.583130
68.923790	68.923790	288.619480	288.619480
68.952560	68.952560	264.109380	264.109380
68.963070	68.963070	111.627240	111.627240
68.992070	68.992070	150.637310	150.637310
69.040360	69.040360	264.505490	264.505490
69.051910	69.051910	279.857150	279.857150
69.063810	69.063810	149.467560	149.467560
69.064030	69.064030	148.886260	148.886260
69.063940	69.063940	287.084930	287.084930
69.092400	69.092400	185.184620	185.184620
69.084720	69.084720	277.389040	277.389040
69.109620	69.109620	269.580050	269.580050
69.103850	69.103850	286.400790	286.400790
69.097700	69.097700	276.445680	276.445680
69.146030	69.146030	286.774720	286.774720
69.222840	69.222840	270.119570	270.119570
69.229810	69.229810	277.267910	277.267910
69.229810	69.229810	277.267910	277.267910
69.209530	69.209530	269.254360	269.254360
69.230990	69.230990	288.164520	288.164520
69.222840	69.222840	270.119570	270.119570
69.257130	69.257130	184.374760	184.374760
69.250000	69.250000	183.017650	183.017650
69.305230	69.305230	266.358400	266.358400
69.308830	69.308830	208.269390	208.269390
69.389480	69.389480	190.628200	190.628200
69.461370	69.461370	231.961330	231.961330
69.439610	69.439610	263.024200	263.024200
69.536880	69.536880	231.826580	231.826580
69.573380	69.573380	269.479740	269.479740
69.573380	69.573380	269.479740	269.479740
69.608330	69.608330	265.562040	265.562040
69.642440	69.642440	233.180920	233.180920
69.635250	69.635250	270.534760	270.534760
69.642190	69.642190	270.036800	270.036800
69.661260	69.661260	273.567500	273.567500
69.680740	69.680740	191.574830	191.574830
69.654110	69.654110	148.148970	148.148970
69.666290	69.666290	293.084930	293.084930
69.680740	69.680740	191.574830	191.574830
69.677410	69.677410	148.962430	148.962430
69.679720	69.679720	272.476780	272.476780
69.674360	69.674360	271.514770	271.514770
69.730540	69.730540	199.547960	199.547960
69.773700	69.773700	183.930600	183.930600
69.808970	69.808970	268.533360	268.533360
69.791880	69.791880	267.623570	267.623570
69.831090	69.831090	232.439940	232.439940
69.823300	69.823300	271.708950	271.708950
69.830460	69.830460	143.619380	143.619380
69.899460	69.899460	272.213530	272.213530
69.938590	69.938590	293.438350	293.438350
69.945120	69.945120	174.709880	174.709880
69.930500	69.930500	262.848510	262.848510
69.942610	69.942610	232.013990	232.013990
69.949820	69.949820	266.339750	266.339750
69.951530	69.951530	174.176770	174.176770
69.957630	69.957630	173.033860	173.033860
69.977340	69.977340	266.714170	266.714170
70.003810	70.003810	272.073000	272.073000
70.059360	70.059360	199.993150	199.993150
70.087480	70.087480	190.916140	190.916140
70.105940	70.105940	271.318360	271.318360
70.097560	70.097560	267.137150	267.137150
70.097950	70.097950	264.984380	264.984380
70.144690	70.144690	267.359470	267.359470
70.158750	70.158750	174.110440	174.110440
70.257820	70.257820	266.009120	266.009120
70.269740	70.269740	267.079190	267.079190
70.267210	70.267210	272.703400	272.703400
70.280130	70.280130	268.482420	268.482420
70.346070	70.346070	282.546880	282.546880
70.452980	70.452980	266.058200	266.058200
70.498160	70.498160	282.737790	282.737790
70.526070	70.526070	248.621220	248.621220
70.561020	70.561020	269.303680	269.303680
70.563970	70.563970	322.164150	322.164150
70.629630	70.629630	323.222930	323.222930
70.670140	70.670140	249.661590	249.661590
70.698460	70.698460	284.894130	284.894130
70.760320	70.760320	267.604310	267.604310
70.788160	70.788160	322.947270	322.947270
70.751490	70.751490	285.397400	285.397400
70.904870	70.904870	111.383830	111.383830
70.941540	70.941540	257.357700	257.357700
70.941540	70.941540	257.357700	257.357700
70.959500	70.959500	256.115780	256.115780
70.958850	70.958850	278.534910	278.534910
70.964830	70.964830	191.531490	191.531490
70.978720	70.978720	258.173460	258.173460
71.005140	71.005140	257.258580	257.258580
70.988920	70.988920	109.742160	109.742160
71.035750	71.035750	93.914630	93.914630
71.128210	71.128210	258.145600	258.145600
71.125270	71.125270	171.843900	171.843900
71.144780	71.144780	177.756740	177.756740
71.151390	71.151390	110.214530	110.214530
71.187640	71.187640	231.676700	231.676700
71.184110	71.184110	257.895720	257.895720
71.186010	71.186010	204.188030	204.188030
71.246940	71.246940	199.410780	199.410780
71.324930	71.324930	191.604140	191.604140
71.304470	71.304470	213.494740	213.494740
71.347970	71.347970	256.186740	256.186740
71.342070	71.342070	110.472060	110.472060
71.418140	71.418140	177.097790	177.097790
71.414580	71.414580	257.343200	257.343200
71.418140	71.418140	177.097790	177.097790
71.552020	71.552020	176.848920	176.848920
71.580350	71.580350	179.901170	179.901170
71.638160	71.638160	256.199040	256.199040
71.651520	71.651520	256.648960	256.648960
71.671050	71.671050	224.781400	224.781400
71.667230	71.667230	178.938780	178.938780
71.690180	71.690180	175.910130	175.910130
71.740210	71.740210	179.533190	179.533190
71.731750	71.731750	231.846440	231.846440
71.754730	71.754730	237.842240	237.842240
71.782570	71.782570	201.887600	201.887600
71.758700	71.758700	228.005980	228.005980
71.817600	71.817600	230.275440	230.275440
71.820550	71.820550	231.220670	231.220670
71.877040	71.877040	178.208440	178.208440
71.817600	71.817600	230.275440	230.275440
71.890500	71.890500	211.707110	211.707110
71.999680	71.999680	225.132550	225.132550
72.008930	72.008930	228.082630	228.082630
72.026070	72.026070	237.436290	237.436290
72.171090	72.171090	150.470610	150.470610
72.210060	72.210060	237.702360	237.702360
72.260410	72.260410	190.641950	190.641950
72.301970	72.301970	32.812480	32.812480
72.301970	72.301970	32.812480	32.812480
72.360020	72.360020	212.030270	212.030270
72.413840	72.413840	211.094440	211.094440
72.436240	72.436240	165.426530	165.426530
72.461450	72.461450	197.788730	197.788730
72.552260	72.552260	183.925860	183.925860
72.567070	72.567070	166.681880	166.681880
72.609910	72.609910	275.373750	275.373750
72.611740	72.611740	119.162670	119.162670
72.687950	72.687950	199.076200	199.076200
72.729300	72.729300	275.262180	275.262180
72.775360	72.775360	165.650280	165.650280
72.911430	72.911430	0.612700	0.612700
72.987630	72.987630	198.390590	198.390590
73.039210	73.039210	125.361780	125.361780
73.095140	73.095140	244.712660	244.712660
73.105720	73.105720	245.570080	245.570080
73.109180	73.109180	126.306870	126.306870
73.137960	73.137960	127.055630	127.055630
73.179400	73.179400	329.824740	329.824740
73.248090	73.248090	185.553090	185.553090
73.227760	73.227760	245.030590	245.030590
73.330060	73.330060	109.102400	109.102400
73.451930	73.451930	109.475810	109.475810
73.530190	73.530190	321.685460	321.685460
73.585950	73.585950	109.437170	109.437170
73.667090	73.667090	321.595460	321.595460
73.825990	73.825990	34.379450	34.379450
73.870010	73.870010	33.628850	33.628850
74.129760	74.129760	225.102250	225.102250
74.207400	74.207400	224.411390	224.411390
74.206940	74.206940	279.456700	279.456700
74.207400	74.207400	224.411390	224.411390
74.245700	74.245700	115.436260	115.436260
74.295900	74.295900	123.251910	123.251910
74.565630	74.565630	116.023100	116.023100
74.653460	74.653460	124.934210	124.934210
74.667250	74.667250	125.515810	125.515810
74.723850	74.723850	114.520340	114.520340
74.752860	74.752860	276.298920	276.298920
74.764500	74.764500	122.617100	122.617100
74.787360	74.787360	142.019210	142.019210
74.764500	74.764500	122.617100	122.617100
74.862790	74.862790	138.393940	138.393940
74.971800	74.971800	277.127470	277.127470
75.091140	75.091140	185.219420	185.219420
75.224260	75.224260	138.342160	138.342160
75.227960	75.227960	106.027360	106.027360
75.248690	75.248690	186.687910	186.687910
75.273430	75.273430	354.254880	354.254880
75.313040	75.313040	185.435320	185.435320
75.411960	75.411960	106.064020	106.064020
75.552560	75.552560	184.917560	184.917560
75.545690	75.545690	358.093630	358.093630
75.585190	75.585190	311.168580	311.168580
75.598370	75.598370	309.330230	309.330230
75.616430	75.616430	311.649410	311.649410
75.814420	75.814420	122.413340	122.413340
75.864430	75.864430	185.834470	185.834470
